author,published_at,like_count,text,is_reply
@hurdongseok2055,2025-08-18T16:11:11Z,0,이제 학교 갑시다...,False
@문유경-v2h,2025-08-18T16:09:47Z,0,지나간것 또 시작이다 죄 아님 문재인김정숙 이재명 김혜경은 더 많은 죄를 짓고도 조사 안하고 국민세금 나라돈 니들 부부 도둑질 햇잖아(((((((바른말 이지 김건희여사님은 솔직히 일반일때 주식한것가지고 큰오바한것 같은데 다 이재명정치 보복 국민들은 다 안다 니들 보다 더 현명하고 사리판단 뒤어난다 빙신쫒다 엠비시 반세력방송,False
@김경식-h9o,2025-08-18T16:08:39Z,0,사위 역할 했네,False
@행운맘-y4d,2025-08-18T16:07:14Z,0,"주진우, 빠루나경원, 박성재 내란공범 100%",False
@행운맘-y4d,2025-08-18T16:06:37Z,0,박쥐 말술간염 주진우 이란큰죄가 있어 구속되지 않으려고 당대표 진출해 피해보려했느냐!<br>빠루나경원숭이와 함께 나란히 감옥으로 들어가거라,False
@행운맘-y4d,2025-08-18T16:05:05Z,0,"말술간염 주진우, 이시현 즉시 체포하고 구속하라!",False
@행운맘-y4d,2025-08-18T16:04:25Z,0,썩을것들! 주진우 넌 줄리 탬버린 전속 집사였구나! 줄리김건희 검은돈 먹고나니 할만했니? 이제 곧 감방으로 보내주마,False
@조신산적,2025-08-18T16:02:28Z,0,이건 머 검새들을 포함해서<br>완존 빌어먹을 양아치 가족들이네,False
@icejust9195,2025-08-18T16:01:55Z,0,주진우 한동훈 곽상도 아들 50억 모두 처버해라,False
@보노보노-f2i,2025-08-18T16:00:11Z,0,주진우 이야..,False
@이앤-l1w,2025-08-18T15:55:07Z,0,진우 축하한다 ~~~ 조만간 너도 골인되는거냐 !!!,False
@짱짱구24,2025-08-18T15:52:31Z,0,디졌다,False
@HelenKim-o8o,2025-08-18T15:43:15Z,0,국힘아 영부인 가족의 불법을 돕는 집사일이 의원이 할 일이냐?,False
@danielchang4474,2025-08-18T15:39:53Z,0,혹시 간염이면<br>교도소도 면제인가요,False
@모모ks,2025-08-18T15:34:42Z,0,주진우 겁나 나대던 이유가 있었구나,False
@전짱-j2s,2025-08-18T15:25:13Z,0,이젠 대한만국 국민 절반 이상이   다 아는 드라마같은  실제   일어난 내용임,False
@fjgh9996,2025-08-18T15:18:49Z,0,검찰=최은순 개인로펌,False
@벤틀리-y4w,2025-08-18T15:03:53Z,0,진우 너도 고무 호스로 좀 많이 맞아야 되것다..맞을 짓 했제?? 이눔!,False
@이문숙-n8h,2025-08-18T15:01:21Z,0,사회 관공서 기관에 돈봉투로 사기..책임의식이라고는 없는. 저런 사기유전자들 돕는다고  이나라 소중한 사람들 이용하고                              주저앉힌사람들이 한둘인가,False
@sukkim8445,2025-08-18T14:59:18Z,0,진우야 간염 있어도 빵은 가야지. 빵에서 건강식 먹으며 간염 뿌리뽑자,False
@airmark2win,2025-08-18T14:57:40Z,0,비정상 여자의 도구가 되었던 주진우와 검찰검사들~~ 자식들은 머라 할까?? 상관치 않을려나??,False
@lllllilllllllillliii,2025-08-18T14:50:48Z,0,간염수괴 범죄의혹혐의가 몇개냐😬 범죄자가 아니라면 당당하게 수사받아라🤢 특검을 거부하는자가 범인이라매🤢,False
@kiss9024,2025-08-18T14:48:59Z,0,주진우 목숨도 얼마안남았네,False
@바다꿈-v5o,2025-08-18T14:48:49Z,0,대단하다 급성간염,False
@youngp5010,2025-08-18T14:47:25Z,0,주진우 재대로 수사하자,False
@여름하늘-r1c,2025-08-18T14:44:32Z,0,주진우는 김건희 집사노릇해 놓고 국회의원 됐다고 개 난리쳤구나 감방가자,False
@불고구마-i4h,2025-08-18T14:44:17Z,0,야 간염 ㅋㅋㅋㅋㅋ<br>클났네 ㅋㅋㅋㅋㅋ<br>주진우 숨쉰채 발견되겠네 😅😅😅,False
@bestenglish7940,2025-08-18T14:39:23Z,0,주진우 결국 너였구나,False
@해피-k9b-x8p,2025-08-18T14:37:12Z,1,주잔우 아쓰레기는 김거니 일가 방어를 위해 도대체 뭔짓을 한거냐,False
@날랜돌이-n6o,2025-08-18T14:36:57Z,1,"주진우는 반드시 감옥에 보내야 할 듯!!!<br>주진우는 안 낀데 없구만!!!!<br>주진우, 김진우 양 진우 손잡고 같이 감옥으로!!!",False
@강감찬-v4b,2025-08-18T14:36:44Z,2,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a>내란수괴와 관련자, 동조자, 비호자.....몽조리 전재산 몰수하고....5족을 사형에 처해야 다시는 이땅에 내란이 일어나지 않는다",False
@Vecchio-g7v,2025-08-18T14:28:34Z,1,주진우 저 뻔뻔한 ㄴ  꼭  처벌받기을 바란다,False
@오늘도내일을향해,2025-08-18T14:27:39Z,1,주진우 철저히 수사해라,False
@혼족좋아,2025-08-18T14:27:26Z,1,최은순 살리려 발악 열심히 압력 넣었네 그래서 결과는 학교로 ㅋㅋㅋ,False
@PK9217,2025-08-18T14:25:59Z,1,아니 ㅎㅎㅎㅎ 이정도면 특검기간을 5년으로 늘려야 되는거 아님?? ㅎㅎㅎ 파도파도 끝없이 나오네 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,False
@유시중-f7y,2025-08-18T14:24:35Z,1,"정말,드런 새키들.",False
@뚜라미-e5c,2025-08-18T14:23:22Z,2,간때문이야 간때문이야<br>잘가라 잘가라,False
@유투브-t8g,2025-08-18T14:22:15Z,1,빠이빠이...,False
@rock8205-1,2025-08-18T14:19:59Z,1,진우야 쪽팔린다 ㅋㅋㅋ건희는 부부  모녀 간빵,False
@gongju2682,2025-08-18T14:19:58Z,1,이것들이 모두 전화기를 교체했다는게 범죄 반증하는것이다 반드시 비화폰도 복구해내야한다,False
@uk1-i3x,2025-08-18T14:18:05Z,5,사기 가족단과 김충식 전부 구속해야 합니다<br>김예성은 김충식 집사도 했다<br>부역자들도 제발 강력하게 처벌하고 그동안 쌓아온 부 전부 몰수해라,False
@Veronica-zu7ui,2025-08-18T14:16:07Z,1,대한민국 정치판이 저렇게 썩었구나!!!,False
