author,published_at,like_count,text,is_reply
@이성석-b4j,2025-08-18T16:39:53Z,0,이재명이 지지율 빠지는거 안보이냐? 자기 편은 다 풀어주냐? 위안부 할머니들 지원금을 참나.....이게 나라냐?,False
@ssiibb,2025-08-18T16:38:35Z,0,교도소에서 빤스입고 드러누울넘 날리면으로 개사기극 그냥 허접한 인생 ㅋ,False
@seankang6360,2025-08-18T16:36:30Z,0,볼수록 진상이네,False
@나이스필-q1n,2025-08-18T16:32:28Z,0,윤씨 시절 판사들 판결은  참  이례적인게 많네~  이러니 판새라고 욕먹지~,False
@APROBONG,2025-08-18T16:28:04Z,0,법과 절차 따위는 개나 줬구만,False
@영영-i6j,2025-08-18T16:26:30Z,0,멧돼지는 때려 잡는게 맞습니다.<br>길길이 날뛰는 멧돼지는 더 그렇습니다.,False
@내가제일잘나가-p2o,2025-08-18T16:25:45Z,0,신발럼이 주둥이 조심하지 않고 막 떠들어 놓고는 엄한 방송사에 책임을 떠 넘기는 추잡한 짓을 서슴치 않고 했으니. 저걸 수장이라고 뽑아놨으니 나라가 개판이지.,False
@y.davidcho2791,2025-08-18T16:25:24Z,0,야당 탄압이 아나라 잘못을 탄압하는거예요.,False
@김리처드-j4c,2025-08-18T16:25:00Z,0,그냥 미친놈이 였어,False
@random-f5c2o,2025-08-18T16:22:02Z,0,강훈 전 조선일보,False
@심심유툽,2025-08-18T16:21:34Z,0,사법개혁은 꼭 필요합니다 개법관들,False
@hyt9351,2025-08-18T16:20:50Z,0,지겹다,False
@naya-w9s,2025-08-18T16:14:31Z,0,이제 썩은 것들을 도려내고 새롭게 만들어야 합니다.,False
@내란의뿌리를뽑자-p7k,2025-08-18T16:10:16Z,0,진상 윤석열과  진상 김은혜를 고소하자!  <br>그리고 쓰레기 판결을 내란 판사도 청산할 대상이다!<br>대한 민국에 이런 쓰레기 판사가 없도록 사법걔혁을 이루어야 한다!,False
@박세진-g5j,2025-08-18T16:10:04Z,0,판사도 검사도 청력에 문제가 있다<br>이런 놈들이 법을 다룬다는건 상당히 위험하다 해임시켜야 된다,False
@DK-ys5oi,2025-08-18T16:08:05Z,0,MBC 말고 다른언론은 권력의 개인가? 윤석열은 소송비용 일체 물어내고 명예훼손비용까지 물어라!!!,False
@minwolf-q9h,2025-08-18T16:07:10Z,0,윤어게인 패거리가 서부지법 때려부순 이유가 성지호였구나.. 썩어도 어떻게 저렇게. ㅉㅉ,False
@대한민국헌법수호,2025-08-18T16:06:59Z,0,이나라 법치는 개판사 시벨넘이 가장 큰 문제임,False
@MdL-p9s,2025-08-18T16:00:05Z,0,검사 시절 어떤 방식으로 검사질을 했는지 보인다 보여~,False
@한세종-d3d,2025-08-18T15:59:58Z,0,도리도리는ㅋㅋㅋㅆ.ㅂ 진짜 명품이다,False
@안진범-l5w,2025-08-18T15:58:15Z,0,윤석열은 그냥 인간이 아니라 그냥 미처날뛰는 살인마 자자체이고 국힘은 함께  날뛰는 무리 검찰은 윤석열의 개 법원도 국힘의 하수인들의 모임이며 교회는 윤석열 사상교육  담당 언론은 윤선열의 나팔수,False
@MegaSammea,2025-08-18T15:58:02Z,0,진짜 저때 김은혜 싸다구 날리고 싶었다,False
@gagimi,2025-08-18T15:57:52Z,0,싹 다 잡아서 사형 시켜야됨,False
@sangrocklee8612,2025-08-18T15:56:46Z,0,"<a href=""https://www.youtube.com/watch?v=DShnMYo2CXE&amp;t=12"">0:12</a> 도리도리 못하게 못으로 고정시켜 놓으면 안되나요?",False
@이예이-g2p,2025-08-18T15:55:35Z,0,재판관이 법 대신 권력에 아부나 하니 이 모양이 됐지,False
@Wtigfg1,2025-08-18T15:55:26Z,0,공정과상식이 없던 세상,False
@eie28,2025-08-18T15:55:10Z,0,"윤석렬 자체가 우리나라를 위험에 빠뜨린 쓰레기지.  역대 제일 무능, 더러운 카르텔, 최악의 비리들, 무능한&amp; 매국노 관리들 임명...  진짜 나라가 너무 많이 망가졌다.",False
@유재한-h4o,2025-08-18T15:54:30Z,0,온국민은 제대로 들리는데<br>쓰래기들 귀는 틀리구나<br>한심한것들,False
@youngp5010,2025-08-18T15:48:00Z,0,공수처에서 진상 수사 해라,False
@peacewonderful4700,2025-08-18T15:45:19Z,0,똥 싼 시키가  벌떡 벌떡 화를 낸다더니...<br>그 냄새를 맡은 사람은 기분이 좋을까?<br>전 국민을 화나게 한 사건의 시작!!!,False
@Aiden.K,2025-08-18T15:45:07Z,0,역시 조선,False
@darkmoon70,2025-08-18T15:42:05Z,0,김은혜 요즘 뭐하냐? 비행기 날리나?,False
@danalee9946,2025-08-18T15:41:46Z,0,진짜 나쁜!!! 정말 저러고도 찍다니ㅜㅜ,False
@김영배-f2p,2025-08-18T15:36:52Z,0,저러리ㆍ사법부는ㄴ사라져야할ㆍ사법부네,False
@naroo617,2025-08-18T15:34:17Z,0,진짜 쓰레기 같은,False
@user-efb55eh838,2025-08-18T15:34:06Z,0,김건희 보필하게 같은방에 넣어줘라 꼬붕역할  좋아하는데,False
@투구준,2025-08-18T15:29:21Z,0,아이큐가 높던 말던  후에~ 다 멍청한 짓보다 더 더러운 짓인지 다 벌을 받게 되는데<br>국짐들 그 것들은  아직도 오리발에 징글징글하다<br><br>이걸 느릿느릿 질질 끄는 조사 판결이  다 판사의 책임도  다가온다 벌이 <br><br>결론은 판사들이 모든 걸 쥐고있었다는 증거인데 아직도 그냥 두는 민주당 해결력 실망스럽지..<br>방시혁도 처벌한다 하더니  갑자기 국민임명식에 초대하질않나??  말만 처벌한다 조사한다 검토한다 하더니 아직도 조용함 <br>이런 걸 봐서 민주당 말만 떠들고 해결은 남이 해주길 바라는 이기적인 상태  뭐라도 확실하게 하는게 지금까지 보이질않네..,False
@woonbeejiang4242,2025-08-18T15:26:25Z,0,지난 윤정부는 어떻게 한결같이 진상들만 한데 모아 놓은 듯~~~  하긴 국짐당 사람들만 보아도 ~~~   철저히 조사해서 실뿌리까지 모조리 뽑아야...,False
@김봉석-q4z,2025-08-18T15:22:17Z,0,쪽,False
@deil-t1p,2025-08-18T15:21:56Z,1,ㅎㅎㅎ 주변인들이 칼춤을 추었구나????<br>모지리들..... 조작과 날조.....,False
@초록빛석양,2025-08-18T15:21:31Z,0,저늠의 도리도리,False
@자연-f2l,2025-08-18T15:17:28Z,1,저 양아치놈 더 이상 안봐서 속이 시원. 입만 열면 거짓말에 남을 괴롭히는게 취미인 놈인지라 결국 감옥에서도 빤쓰 난동 .,False
