author,published_at,like_count,text,is_reply
@데굴알밤,2025-08-18T16:41:31Z,0,맨날 쉬었음만 강조하네...물론 아무런 구직활동안하고 쉬는놈들은 죽일놈이긴한데 구직해서 일해보고 데인사람들도 부지기수다 중소기업이 얼마나 열악한걸 보도해야지 뭔 보도도 수박겉핥기식으로 하고있네<br>임금체불에 임금삭감 과다노동 안겪어봤으면 이런 뉴스좀<br>안냈으면 좋겠다,False
@영영-i6s,2025-08-18T16:28:31Z,0,한국의 사법부의 이혼이50프로에육박하는데이혼리스크가너무커서 혼전재산이있는청년은더욱더결혼을꺼릴것임,False
@휘바람-z1u,2025-08-18T15:57:57Z,0,거지 양산장책이 문제입니다. 제발 청년수당  뭐 이런거 다 없애주세요,False
@넘싫어,2025-08-18T15:56:15Z,0,분배.....더 해보라...특히 자영업자들....후회해도 끝이다....,False
@LOVELOVE-dx7fo,2025-08-18T15:46:22Z,0,집값 몇십어씩 올혀놓구. 일하래<br>희망이있어야 일하지<br>집값 3배오랐음 기본급 500줘봐라<br>다일하지<br>20년전에 도200만원   지금도 200<br>집값은 3배  나라가생각좀하자<br>보유새 다깨려. 청년월급 500으로 해라<br>그럼다잃한다<br>기득권. 나이 먹은사람들이나라 다망쳐놓구있음<br>지들은  일하고  돈열심히모으면 <br>집살수있는 시대살랏음  양심이없다<br>젊은이들 500씩줘라,False
@네온아트,2025-08-18T15:44:56Z,0,노는게 남는거다,False
@online0227,2025-08-18T15:43:21Z,0,원인은 ai겠지. 상위 5~10프로 초고급레벨이 아닌이상 적당한 혹은 초급레벨이면 이젠 거의 무조건 ai한테 쳐발리고 점점 취업안된다고 보면됨. 로봇세하고 디지털세 걷어 기본소득제 하는수밖에 없을껄..,False
@kwjsimplechef,2025-08-18T15:20:46Z,0,이러다 나라 망함,False
@suchanx7,2025-08-18T15:13:48Z,0,ㅋㅋㅋㅋ식당 주방이나 숙박업 가 보면 안다. 다 50대 이상 삼촌 이모들임.<br>젊은 애들? 가끔 한명씩 왔다가 다음날 안 나옴. 그런 비루한 일 하시기엔 워낙 귀하신 몸들이라 ㅋㅋㅋㅋ,False
@김성은-i2d,2025-08-18T15:11:59Z,0,이 와중에 노란 봉투법 통과시켜서 일자리 더 줄이려는 민주당 ㄷㄷ,False
@고현경-c6t,2025-08-18T15:04:48Z,0,외노처럼  자기나라 평균월급 보다 10배 많은 월급 줘봐라<br>열악해도 간다,False
@이충희-i2h,2025-08-18T14:28:30Z,0,양질의 일자리<br>!!!!????<br>서민에겐<br>없습니다....,False
@haru8536,2025-08-18T14:14:44Z,0,쉬는 얘들 돈좀 주지마.,False
@김종균-i7l,2025-08-18T14:09:00Z,0,냉정하게 신입 데리고 성과 내서 이익 볼 기업은...뭐가 있나 싶습니다.,False
@차고지-t4y,2025-08-18T13:58:17Z,1,특별한 별정직 아니면 최저시급 적용받아요,False
@Hydra.1005,2025-08-18T13:41:15Z,0,노인연금 부터 끊어야 공감좀 할걸,False
@여행마니아-t9e,2025-08-18T14:03:47Z,0,백날 알바짓 해봐라 ㅋ 이런 자들 때문에 국짐이 멸망한거다 알간?,True
@서혜경-q4w,2025-08-18T13:35:30Z,0,30년전에도  우리는  니들  다  키웠어  맞벌이  거의  없이   셋도  키웠는데   요새는  왜  그런다니 ~??? 돈을  얼마를  원하니      애  낳으면  요새는 지원금도  나오더만  ...  그  옜날엔  남편이  벌어다  주는  돈으로   생활했어  이것들아,False
@user-mooji,2025-08-18T13:28:09Z,0,"취업을 가로막는 조건들 철폐하라,",False
@로또라이더-g6d,2025-08-18T13:27:19Z,0,이게다 부모들 때문 후세 아이들은 개고생 할팔자,False
@햄토리네_4k,2025-08-18T13:19:04Z,0,아무일이나 해도 평타 이상이구나ㅋㅋ,False
@Sa바이,2025-08-18T13:10:31Z,0,놀아두 돈주잔아😅,False
@wootaiknoh1235,2025-08-18T13:08:40Z,0,맨날 똑같은 레파토리에 거기 일하느니 다른곳으로 가지 이딴 내용말고 왜 그렇게 되는지 사회구조랑 좀 비교좀 하는걸로 좀 신선하게 뉴스를 보도해주면 안되나 매번 똑같이 청년 쉬었음 거기 일하느니 이런식으로 누구탓하지말고 좀,False
@schoi5993,2025-08-18T13:05:58Z,0,돈 많은 부모가 많아서 그럼,False
@섭리의눈,2025-08-18T12:48:01Z,0,좋은 현상입니다<br>🔥  불볕더위 에  누가 노동일 할까요?,False
@galbo-06m,2025-08-18T12:47:33Z,0,취업하기 힘들면 일본으로 눈 돌려보는 것도 좋음 신입은 어려움 없이 빨리 취업할 수 있음 여기서 취업준비하다 시간 날리는 것 보단 나음,False
@리틀-m4u,2025-08-18T12:43:10Z,0,일하고싶어도 안뽑아준다,False
@지나가던수달,2025-08-18T12:37:45Z,0,팩트1. 실업급여는 쉬었음청년들은 타먹을수가없다 일을하지않았기때문 <br>팩트2.청년지원금도 구직활동을하지않으면 안준다<br>팩트3.월급200대에 주5일만지켜도 사람들 많이간다<br>팩트4.재내도 대부분 알바는 한다,False
@미생-e5l,2025-08-18T12:35:53Z,0,고학력 일수록 통장이 바닥날때까지 버티는군. 그냥 월급 300만원도 괜찮은데..,False
@치킨다섯마리먹는사람,2025-08-18T14:32:32Z,0,누가 300을 줘 209만원 주지,True
@썬연료전속모델,2025-08-18T12:32:54Z,0,강제로 학력 상향평준화 했는데 근로계약 안하는 건 자유지ㅋㅋ 예전 세대처럼 기회가 충분한 수준도 아니고. 난 일하지만 욕하고 싶지는 않음. 그 사람들 나름대로의 감정과 사정이 있을 거라고 셍각함.,False
@haeyeonglee,2025-08-18T12:31:45Z,0,우리나라만큼 기업하기 좋은나라 사실 많이 없다. 미국처럼 금리가 높나. 유럽국가처럼 노동법이 빡세나,False
@jj4814,2025-08-18T12:29:39Z,10,실업수당 평생 두번만 받게 해야지 기가  차다,False
@이천희-d3o,2025-08-18T12:27:16Z,3,주5일에 230만줘도 간다는놈 넘치는데 ㅋㅋㅋㅋ 뭘 안가 그것도 안하는곳이 많다는거임 청년 지원금 놀아도 주는줄아는놈들 왜케 많노 ㅋㅋㅋㅋㅋ,False
@김상욱-l4u,2025-08-18T12:25:37Z,1,20대 일머리가 없는지  의욕이 없는지  이용자입장에서보면  두번다시 고용생각 없습 혼자하고말지 그나마 60대이상는 일에대한 책임의식이라도 있지,False
@유진국-p7v,2025-08-18T12:25:35Z,0,기업들 또 쥐짜려하네. 기업부담 덜어줘봐 알아서 일자리 창출하지. 쥐짜니 외국으로 튀지,False
@user-po8ti9ld4f,2025-08-18T12:22:59Z,0,안그래도 흙수저로 태어나서 일하는게 억울한데,False
@user-xq7on1bk6m,2025-08-18T12:17:31Z,0,창의력 키우는 교육받은 사람들의 피해다 창의력이 높을 수록 단수노동 같은거 못하니깐,False
@jaehyuklee2357,2025-08-18T12:16:33Z,1,기업이 신입을 안뽑는데 왜 청년들에게 책임을 전가하나,False
@user-xq7on1bk6m,2025-08-18T12:28:22Z,4,알바도 1명뽑는데 20명지원하는데 어쩌라고? 지원안하고 말지,True
@방패닭쥐,2025-08-18T12:06:22Z,7,정말 이해가 안되는게 국가에선 기업들 해외로 싹다 이주시키려고 발악하는데 그 기업들이 사람을 뽑겠음? 정부에서는 이치에 맞는 행동을 하기 바람,False
@감자밭-i1m,2025-08-18T13:38:36Z,0,외국인이 다차지해서 갈때가없긴함,True
@파트라슈-s6d,2025-08-18T12:00:48Z,0,민주당에서 집권하면 조져대니 기업에서 투자안하고 몸사린다고들었음 삼성친구한테,False
@수상한낚시꾼,2025-08-18T11:59:16Z,6,그노무 실업급여  . 사람망치고  나라망치고,False
@이천희-d3o,2025-08-18T12:29:57Z,1,그 실업급여 가장많이타먹는게 5060인디요,True
@사랑-h2l,2025-08-18T11:51:42Z,0,자본주의에 역행하는 정부의 정책이 더 우려스럽네요. 이제 기업들 짐싸야 합니다. 정말 무서운 시대가 오고 있네요. 내란수괴 더불어공산당을 군이 방임한 결과죠. 우리 국민은 나라망치는데 천부적인 재능이 있는거 같네요,False
@이동준-k8f,2025-08-18T11:49:01Z,1,대박이다,False
@남성진철만,2025-08-18T11:44:43Z,2,당근 알바에 다몰렸다 당근알바 5분에<br>20명씩 지원한다. 다만나 보구 말해보면<br>취업이 안되서 이거라도  한다고한다.<br>심각하다,False
@버블-k5b,2025-08-18T11:45:35Z,1,알바가 이거라도가 아님...알바도 안됨...이게 현실임....뉴스는 한발 늦음...,True
@user-xq7on1bk6m,2025-08-18T12:18:44Z,0,알바를 왜해 적성에 괜히 알바 갔다가 짤리고 술먹지말고 코딩공부해서 글로벌하게 돈벌자,True
@버블-k5b,2025-08-18T12:28:29Z,0,​@@user-xq7on1bk6m갑자기 웬코딩? 코딩도 한물감..,True
@galbo-06m,2025-08-18T12:45:25Z,0,​​@@user-xq7on1bk6m미국도 그렇고 그쪽업계가 해고 가장 심각한데ㅋㅋ 취업도 헬이고,True
@어반자카파차하차,2025-08-18T11:40:45Z,0,나라가 나락가는구나..,False
