author,published_at,like_count,text,is_reply
@Amamamamwnwb,2025-08-13T11:30:42Z,0,유ㅜㅜㄴ아 개이쁘네 다시봤다 하나도안늙었다,False
@대상혁-w7m,2025-08-13T11:29:14Z,0,지금까지 봐온 영상중에서 표정이 가장 밝은것같지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,False
@Kmm-i6v,2025-08-13T11:28:52Z,0,와 윤아 얼굴 겁나 작다,False
@빵빠레-y7b,2025-08-13T11:28:17Z,0,케미 좋은😊 캬 참소라 냉파스타 콜드라 더 맛있어보여요.. 내일 아침은 파스타다!🤤👍🏻,False
@yoooyn,2025-08-13T11:23:38Z,1,안성재 셰프님과 윤아의 만남 너무 좋다...<br>요리에 진심인 윤아가 출연한 드라마 폭군의 셰프 8월 23일 첫방 많관부🤍,False
@방방-e3w,2025-08-13T11:23:24Z,0,난 윤아가 티비나 유튜브 나오는게 싫어… 너무 이뻐서 진짜 질투남ㅜㅜㅜ❤❤❤ 어떻게 사람이 저렇게 청순하고 단아하고 뭘해도 예의발라보일 수가 있지…,False
@Markhaowen,2025-08-13T11:19:59Z,1,"윤아 누나를 방송에 초대해 주셔서 감사합니다, 윤아 누나의 요리 솜씨는 정말 훌륭합니다, 누나의 새로운 드라마 화이팅!",False
@leewanjun1319,2025-08-13T11:18:41Z,0,오늘따라 유독 밝은 형님의 미소를 보고 미소된장국을 만들어 먹겠습니다,False
@얄리얄라얄라송옹,2025-08-13T11:18:38Z,0,여신이 나왔다,False
@너의-h4c,2025-08-13T11:18:27Z,1,이렇게 질문 잘하고 진심인 게스트는 처음이네,False
@한성훈-b5c,2025-08-13T11:15:56Z,2,ㅋㅋㅋㅋㅋ 윤아 누나 셰프복 입으니 왜 이렇게 이쁘고 사랑스러워 ㅋㅋㅋㅋㅋ ?????,False
@서지니-w2e,2025-08-13T11:15:08Z,0,오늘따라 무지하게 즐거워보이시네요 ㅎㅎ,False
@yellow8601,2025-08-13T11:15:01Z,1,안성재 솊..<br>킹받게 하는 침착맨님이랑 있을 때랑은 너무 다르신 거 아니에욬ㅋㅋㅋㅋ?<br>그땐 열받아 보이셨는데 지금은 너무 행복해보이심ㅋㅋㅋ<br>하긴 저도 여잔데도 윤아님 옆에 있음 계속 웃고 있을듯 ㅋㅋ,False
@강성근-u5y,2025-08-13T11:14:53Z,2,윤아누나 이뻐❤,False
@곱디,2025-08-13T11:14:45Z,1,첫 여성게스트라닛...!!,False
@마광배야사라있네,2025-08-13T11:13:03Z,4,윤아 미모 미쳤다,False
@송감팽,2025-08-13T11:12:35Z,0,안성재도 긴장을 하는구나,False
@ifeelfunnyjb,2025-08-13T11:10:58Z,1,예쁜데 연기도 잘하고 요리도 잘하구,False
@jeehaepark-51,2025-08-13T11:10:16Z,1,셰프님~ 모수에서는 볼 수 없는 환한 미소를 여기서 보네요ㅎㅎ,False
@juyujeng,2025-08-13T11:07:36Z,0,윤아야❤,False
@송감팽,2025-08-13T11:06:54Z,0,오프닝이 밝다,False
@computerdanser,2025-08-13T11:03:53Z,0,She can Co host a cooking show for her followers!!,False
@Sscv7741,2025-08-13T11:02:58Z,0,참 예쁘다,False
@seyiigo,2025-08-13T11:01:21Z,1,착침맨때랑 표정이 너무 다른데요 쉐프님?,False
@deanyadeaa,2025-08-13T10:59:25Z,0,Hopely there&#39;s another cooking class video with YoonA next time. <br>It&#39;s so great watching YoonA expression,False
@ThưMinh-p5k5b,2025-08-13T10:59:22Z,0,🎉🎉🎉🎉❤❤,False
@imro1106,2025-08-13T10:59:19Z,0,Wahhhh❤😊,False
@mommummei,2025-08-13T10:56:02Z,3,윤아 누님은 어째 점점 젊어지냐..,False
@jeongsikhwang9541,2025-08-13T10:55:48Z,1,윤아 여신이네요 🎉,False
@즉시창조,2025-08-13T10:54:59Z,2,"<a href=""https://www.youtube.com/watch?v=9h7KzgUgbIA&amp;t=518"">8:38</a> 소라: 으아아악",False
@mmmyoong,2025-08-13T10:53:29Z,2,윤아언니 언젠가 요리 콘텐츠에 나갔으면 좋겠는데 <br>드디어!! 너무 좋아 셰프복도 너무 잘 어울려요 👩🏻‍🍳,False
@지니-q8r2v,2025-08-13T10:51:06Z,2,윤아💖💖💖💖,False
@핸들-c7c,2025-08-13T10:50:27Z,2,개좋아하네 진짜ㅋ,False
@AFCAJAX-7,2025-08-13T10:49:53Z,0,윤아 저 분은 나이를 안 드시나 안 늙으시네 여전히 예쁘심;;,False
@eun1004,2025-08-13T10:49:53Z,1,안성재셰프님 오늘 더 멋져보이심 ❤❤❤ 윤아 존예셰프❤❤❤,False
@nadfrhns,2025-08-13T10:49:12Z,0,omgggg yoonaaaaa 🎉🎉🎉🎉 chefeu-nim thank you so much chefeu-nim JJANGGG,False
@아이리스-x9h,2025-08-13T10:47:56Z,0,이제야 시간내서 시청하네요 두분. 함께 보니 넘 좋네요😅😅😅,False
@Sreylinbaclieu6967,2025-08-13T10:46:49Z,0,용❤❤❤❤,False
@정도전-c4s,2025-08-13T10:46:25Z,0,무슨 음식이 아니라 예술을 만드시네..,False
@junsukim8728,2025-08-13T10:46:04Z,0,와...게스트 예측 진짜 안된다..,False
@Dlehdrb1127,2025-08-13T10:45:48Z,0,진짜 나이 먹고있는거 맞나,False
@yna06084,2025-08-13T10:44:36Z,1,일단 확실한건 냉부에서 먹었을 때 보다 리액션이 더 좋다는 것이다...,False
@godqhr344,2025-08-13T10:42:16Z,1,담주 토요일 tvn ‘폭군의 셰프’ 많관부💓💓💓💓💓💓,False
@배드마우스일상,2025-08-13T10:42:02Z,0,ee,False
@godqhr344,2025-08-13T10:41:02Z,1,윤아언니 사랑해요ㅜ,False
@삼계탕-l9s,2025-08-13T10:37:03Z,5,셰프님 그동안 얼굴중 제일 좋아보이세요 ㅋㅋㅋㅋ,False
@IllllIIIIIIIl,2025-08-13T10:35:17Z,3,안성재 솊 얼굴에서 웃음꽃이 가시질않네요 ㅋㅋㅋㅋ,False
@DGNI-ev8se,2025-08-13T10:32:32Z,1,오늘 안셰프님 헤어스타일 넘 멋있어요❤,False
@김응준-e8s,2025-08-13T10:31:53Z,17,이븐이 중 가장 이쁜이,False
@Zaytun4jin3-113,2025-08-13T10:31:28Z,3,윤아 천사네,False
