author,published_at,like_count,text,is_reply
@게살버거리아,2025-07-31T23:54:11Z,0,니들 ㅈ팔육들이 나라 팔아먹고선 <br>이제야 나라 걱정한다고? ㅈ까라 그래라,False
@이즈윈드,2025-07-31T22:05:58Z,0,하지만 미래세대에게 빚남겨주고 있죠..,False
@capybara9818,2025-07-31T15:36:48Z,1,번개탄 + 소주 = 한국인,False
@No_Exit_KangMina,2025-07-31T15:15:41Z,1,"<a href=""https://www.youtube.com/watch?v=ZCngKo4zBH8&amp;t=784"">13:04</a> 66세 ㅋㅋㅋ",False
@No_Exit_KangMina,2025-07-31T15:11:06Z,1,핵노답 대한민국 ㄷㄷ,False
@쿠로동진,2025-07-31T06:47:21Z,2,"지금 애를 낳아야하는 세대가 평생 경쟁해온 애들임. 공부로 경쟁하는 건 당연하다고 쳐도 외모, 집안의 경쟁은 내가 잘한다고 되는 게 절대 아님. <br>공부로 경쟁하는 것도 벅차죽겠었는데<br>요즘 세대는 사실 공부로 어느정도밖에 안 되고 재능, 외모, 집안이 더 중요한 가치라서 애를 낳을 수가 없음",False
@러시안블루1-x2z,2025-07-30T06:36:35Z,1,내나이 33 나라망해가는거 체감 없음 <br>그냥 열심히돈벌고 열심히 놀다가 가면되는거지머,False
@알아서뭐하게-b5f,2025-07-29T22:21:41Z,2,이미 끝났고 늦었음. 나이 먹은 중년 들이 다 해먹고 남 희생 강요하면서 위선 가식 채운 그 십여년 기간동안 모든게 다 망가졌음. 다시 태어나서 봅시다 여러분들….,False
@yongseongheo7693,2025-07-29T21:03:27Z,0,통일밖에 답이없다...😊,False
@hosolline,2025-07-29T13:37:44Z,1,끝났구나,False
@capybara9818,2025-07-28T15:18:31Z,2,5천만 한국인의 번개탄 냄새 솔솔 풍긴다~,False
@제니훈-r5d,2025-07-28T06:27:21Z,0,슈카야 요즘엔 수시80% 정시20%로 뽑는다. 의예과 갈 애들이나 수능에 목숨걸지. 뭘 아직도 수능점수로 대학가는줄 아네... 업데이트가 자기 기억에서 멈춰있구만 수능타령은ㅋ 사교육이 왜 점점 더 심해지겠니?,False
@싱클레어-q1v,2025-08-01T02:55:23Z,0,이번년도에 n수생 제일 많은거 알고있슴?,True
@김도훈-d7j,2025-08-02T10:01:19Z,0,업데이트를.꼭 안하더라,True
@제이혁-f6b,2025-07-27T08:53:50Z,0,"맞녜,,나도 한 아이의 부모지만 아이 낳는다고 돈 많이 든다고 애기했던게 정말 부끄러운 일이였네요ㅠㅠ아 너무 공감,,어이는 행복인데 그걸 돈으로 한산하다니,,,ㅠ슬픈현실,,대한민국,,,딩크족들 꼭 이 영상 보길!!!!",False
@이지훈-l2r,2025-07-27T08:27:01Z,1,불가능은 없다 사실 지금부터 출산율만 올리려고 노력하면 가능한데 정치인 수준을 봐라 자기먹고 살려고만 하지,False
@pop-ts3jc,2025-07-27T05:18:11Z,0,원화가치 유지할때 해외에 배당이 나오는 자산을 대량으로 사들여야함 국내생산으로는 방법이없음,False
@브로콜리-p6s,2025-07-26T19:20:14Z,1,경상도가 젤빨리 망할겁니다,False
@user-xn2ec9wh8w,2025-07-24T22:44:14Z,0,"<a href=""https://www.youtube.com/watch?v=ZCngKo4zBH8&amp;t=1695"">28:15</a> ㄷㄷㄷㄷㄷㄷ",False
@jwk96,2025-07-24T11:34:36Z,2,낙태추정치가 연간 100만건임. 애는 열심히 만드는데 안 낳는거임.,False
@도라에몽-g5j,2025-07-25T23:56:15Z,1,없어졌어야 할 너?,True
@고죠사토루GoJo,2025-07-23T00:00:35Z,0,👏👏,False
@짱이-s2u,2025-07-22T13:42:55Z,6,애기들아 아저씨가 그래도 꽤 살아보니까 알겠더라<br><br>이것저것 재보고 생각해봐야 나이만 먹는단다. 난 지금 내 나이에 아직도 동정으로 살게 될거라곤 생각도 못했어<br><br>그냥 해<br><br><br><br>남들이 이러쿵 저러쿵 떠들어봐야 다 내로남불이란다. 그런 말에 휘둘리다가 인생을 낭비하지 마렴. <br><br>해 그냥... JUST DO IT...!,False
@kalashnikv78,2025-07-22T00:06:39Z,0,자연적으로 인구 조절이 되겠군요~<br>수많은 저 아파트들은 우찌하나~<br>다 빈집되긋네,False
@both6885,2025-07-21T15:30:03Z,2,게임이 다 못해서 터졋는데<br>원딜탓이야 근딜탓이야 탱커탓이야 서폿탓이야 서로 따지고있음<br>근데 객관적으로보면 네놈 다 문제임ㅋㅋㅋㅋㅋㅋ,False
@알튼작스만,2025-07-24T12:21:29Z,0,ㄹㅇ남탓하며 떠드는 놈들 본인들이 자기객관화 결핍에 자칭 현실주의자라는 방구석 국회의원 종자들 본인들 자체가 문제란걸 모름ㅋㅋㅋ,True
@capybara9818,2025-07-21T09:30:31Z,1,한국인의 모든 걱정을 책임지는 번개탄! 지금 바로 구매 하세요!,False
@dlsj99,2025-07-21T07:15:56Z,1,친중채널들을 살펴보자. 금감원도 살펴보자.,False
@Seung_S2-i,2025-07-21T03:36:32Z,1,시간을 쏟는 만큼 발전을 하는게 상식인데 대한민국은 일만 시키잖아… 애를 왜 낳음? 애 키울 시간도 안 주는데ㅋㅋㅋㅋㅋ 창살없는 감옥에 갇힌 기분임,False
@타키야코,2025-07-21T02:23:04Z,1,우리 세대는 문제해결능력을 사실상 상실했다,False
@설탕이야,2025-07-20T20:38:01Z,0,돈 많이 벌어 놔라...이민만이 답이다.,False
